tconst,titleType,primaryTitle,originalTitle,isAdult,startYear,endYear,runtimeMinutes,genres,averageRating,numVotes
tt0000512,short,Funeral of Hiram Cronk,Funeral of Hiram Cronk,0,1905,\N,4,"Documentary,News,Short",4.5,68
tt0000515,short,Los guapos del parque,Los guapos del parque,0,1904,\N,6,"Comedy,Short",4.9,93
tt0000516,short,The Electric Hotel,El hotel eléctrico,0,1908,\N,8,"Animation,Fantasy,Sci-Fi",6.6,1000
tt0000519,short,The Kleptomaniac,The Kleptomaniac,0,1905,\N,8,"Crime,Drama,Short",5.8,363
tt0000520,short,The Life of Charles Peace,The Life of Charles Peace,0,1905,\N,14,"Biography,Crime,Short",6.3,55
tt0000521,short,The Little Train Robbery,The Little Train Robbery,0,1905,\N,12,"Action,Crime,Family",5.5,298
tt0000524,short,New York Subway,New York Subway,0,1905,\N,6,"Documentary,Short",5.8,740
tt0000525,short,Hanging at Jefferson City,Pendaison à Jefferson City,0,1910,\N,7,"Short,Western",5.5,49
tt0000526,short,Pennsylvania Tunnel Excavation,Pennsylvania Tunnel Excavation,0,1905,\N,3,"Documentary,Short",4.4,65
tt0000528,short,"Raffles, the Amateur Cracksman","Raffles, the Amateur Cracksman",0,1905,\N,15,"Adventure,Romance,Short",6.5,17
tt0000533,short,The Wooing and Wedding of a Coon,The Wooing and Wedding of a Coon,0,1907,\N,\N,"Comedy,Short",6.8,40
tt0000534,short,The '?' Motorist,The '?' Motorist,0,1906,\N,3,"Comedy,Fantasy,Sci-Fi",6.6,1137
tt0000535,short,The Anarchist's Mother-in-Law,Anarkistens svigermor,0,1906,\N,4,"Comedy,Short",5,59
tt0000537,short,"Arrival of Immigrants, Ellis Island","Arrival of Immigrants, Ellis Island",0,1906,\N,4,"Documentary,Short",4.5,91
tt0000543,short,Kong Christian d. IXs Bisættelse,Kong Christian d. IXs Bisættelse,0,1906,\N,15,"Documentary,Short",5.2,17
tt0000546,short,Dream of a Rarebit Fiend,Dream of a Rarebit Fiend,0,1906,\N,7,"Comedy,Fantasy,Short",6.7,1850
tt0000548,short,Fiskerliv i Norden,Fiskerliv i Norden,0,1906,\N,\N,Short,6.2,8
tt0000550,short,Proklamationen af Kong Frederik d. VIII,Proklamationen af Kong Frederik d. VIII,0,1906,\N,3,"News,Short",4.4,13
tt0000552,short,The Hand of the Artist,The Hand of the Artist,0,1907,\N,2,"Animation,Short",5.9,59
tt0000553,short,The Haunted Hotel,The Haunted Hotel,0,1907,\N,5,"Comedy,Fantasy,Horror",6.5,409
tt0000554,short,Humorous Phases of Funny Faces,Humorous Phases of Funny Faces,0,1906,\N,3,"Animation,Comedy,Family",6.3,1278
tt0000555,short,Den hvide slavinde,Den hvide slavinde,0,1907,\N,7,Short,5.2,17
tt0000557,short,Kathleen Mavourneen,Kathleen Mavourneen,0,1906,\N,15,"Drama,Romance,Short",4.7,132
tt0000561,short,The Life of a Cowboy,The Life of a Cowboy,0,1906,\N,13,"Short,Western",5.2,51
tt0000565,short,The Night Before Christmas,The Night Before Christmas,0,1905,\N,9,"Animation,Family,Fantasy",6.3,583
tt0000567,short,The 400 Tricks of the Devil,Les quatre cents farces du diable,0,1906,\N,17,"Fantasy,Horror,Short",6.8,1171
tt0000570,short,San Francisco Disaster,San Francisco Disaster,0,1906,\N,3,"Documentary,Short",4.1,52
tt0000571,short,The San Francisco Earthquake,The San Francisco Earthquake,0,1906,\N,14,"Documentary,History,Short",6.9,68
tt0000574,movie,The Story of the Kelly Gang,The Story of the Kelly Gang,0,1906,\N,70,"Action,Adventure,Biography",6,771
tt0000575,short,"20,000 Leagues Under the Sea",20000 lieues sous les mers,0,1907,\N,10,"Adventure,Fantasy,Sci-Fi",5.7,494
tt0000576,short,Ali Baba and the Forty Thieves,Ali Baba et les quarante voleurs,0,1907,\N,13,"Drama,Fantasy,Short",6.1,227
tt0000578,short,"An Awful Skate; or, the Hobo on Rollers","An Awful Skate; or, The Hobo on Rollers",0,1907,\N,\N,"Comedy,Family,Short",7.1,28
tt0000581,short,Bauernhaus und Grafenschloß,Bauernhaus und Grafenschloß,0,1907,\N,\N,Short,6,12
tt0000582,short,Ben Hur,Ben Hur,0,1907,\N,15,"Drama,Short",4.7,698
tt0000583,short,The Lady with the Camellias,Kameliadamen,0,1907,\N,14,"Drama,Romance,Short",5.2,47
tt0000584,short,El ciego de la aldea,El ciego de la aldea,0,1907,\N,8,"Crime,Drama,Short",5.1,79
tt0000586,short,A Curious Dream,A Curious Dream,0,1907,\N,\N,"Drama,Short",6,23
tt0000591,movie,The Prodigal Son,L'enfant prodigue,0,1907,\N,90,Drama,4.5,18
tt0000594,short,The Flight from the Seraglio,Flugten fra seraillet,0,1907,\N,9,"Drama,Short",5.5,13
tt0000595,short,From the Rococo Times,Rosen,0,1908,\N,9,"Drama,Short",5.7,11
tt0000596,short,Fyrtøjet,Fyrtøjet,0,1907,\N,10,Short,5.1,18
tt0000597,short,The Magic Mirror,Les glaces merveilleuses,0,1907,\N,7,Short,5,67
tt0000598,short,"Hamlet, Prince of Denmark",Hamlet,0,1907,\N,10,"Drama,Short",5.2,36
tt0000599,short,Polar Bear Hunt,Isbjørnejagten,0,1907,\N,\N,"Documentary,Drama,Short",4.7,14
tt0000601,short,Lohengrin,Lohengrin,0,1910,\N,\N,"Drama,Music,Musical",5.8,12
tt0000602,short,Lion Hunting,Løvejagten,0,1907,\N,10,"Adventure,Drama,Short",4.6,219
tt0000606,short,Mr. Gay and Mrs.,Mr. Gay and Mrs.,0,1907,\N,\N,"Comedy,Short",7.6,15
tt0000608,short,En ny hat til Madammen,En ny hat til Madammen,0,1906,\N,6,"Comedy,Short",6.4,14
tt0000609,short,Othello,Otello,0,1906,\N,\N,"Drama,Music,Romance",4.4,19
tt0000610,short,Othello,Othello,0,1907,\N,\N,"Drama,Romance,Short",5.4,21
tt0000613,short,O Rapto de Uma Actriz,O Rapto de Uma Actriz,0,1907,\N,\N,"Drama,Short",4.3,13
tt0000614,short,The Red Spectre,Le spectre rouge,0,1907,\N,9,"Fantasy,Horror,Short",6.6,1042
tt0000615,movie,Robbery Under Arms,Robbery Under Arms,0,1907,\N,\N,Drama,4.5,23
tt0000617,short,The Robber's Sweetheart,Røverens brud,0,1907,\N,12,"Drama,Short",4.8,34
tt0000618,short,Salaviinanpolttajat,Salaviinanpolttajat,0,1907,\N,20,"Comedy,Short",8.7,14
tt0000621,short,That Fatal Sneeze,That Fatal Sneeze,0,1907,\N,6,"Comedy,Fantasy,Short",6.5,580
tt0000624,short,The Ugly Duckling,The Ugly Duckling,0,1907,\N,\N,Short,8.2,15
tt0000627,short,'Ostler Joe,'Ostler Joe,0,1908,\N,\N,"Drama,Short",6.1,62
tt0000628,short,The Adventures of Dollie,The Adventures of Dollie,0,1908,\N,12,"Action,Short",5.7,821
tt0000629,short,After Many Years,After Many Years,0,1908,\N,17,"Drama,Short",5.7,86
tt0000630,movie,Hamlet,Amleto,0,1908,\N,\N,Drama,3.9,25
tt0000632,short,Amor que mata,Amor que mata,0,1908,\N,14,Short,5.1,51
tt0000634,short,Antony and Cleopatra,Antony and Cleopatra,0,1908,\N,\N,"Drama,History,Romance",4.7,26
tt0000637,short,The Assassination of the Duke de Guise,L'assassinat du duc de Guise,0,1908,\N,15,"Drama,History,Short",5.5,681
tt0000638,short,At the Crossroads of Life,At the Crossroads of Life,0,1908,\N,9,"Drama,Short",5.3,84
tt0000639,short,At the French Ball,At the French Ball,0,1908,\N,7,"Comedy,Short",5.3,92
